NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
115100,Support Activities for Crop Production,13-1161,Market Research Analysts and Marketing Specialists,detailed,30,33.8,0.01,~,35.73,"74,310",19.2,17.36,20.87,25.18,38.2,71.31,"36,100","43,410","52,360","79,450","148,330",,,2016
115100,Support Activities for Crop Production,15-1141,Database Administrators,detailed,50,19.9,0.01,~,46.22,"96,140",13.1,25.14,32.32,38.4,49.46,73.97,"52,300","67,220","79,870","102,870","153,860",,,2016
115200,Support Activities for Animal Production,13-1161,Market Research Analysts and Marketing Specialists,detailed,80,14.9,0.28,1,31.25,"65,010",6.7,17.17,22.64,28.78,36.98,47.24,"35,700","47,080","59,870","76,920","98,260",,,2016
211100,Oil and Gas Extraction,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,200,10.6,0.11,1,36.87,"76,690",2.8,21.05,26.89,35.26,44.41,57.04,"43,790","55,930","73,340","92,380","118,650",,,2016
211100,Oil and Gas Extraction,13-1161,Market Research Analysts and Marketing Specialists,detailed,450,12,0.25,2,43.65,"90,780",5.3,21.15,27.86,40.3,59.91,74.84,"43,990","57,950","83,820","124,610","155,680",,,2016
211100,Oil and Gas Extraction,13-2031,Budget Analysts,detailed,60,26.6,0.03,~,45.01,"93,620",5.2,27.46,34.39,43.6,55.16,66.76,"57,120","71,540","90,700","114,730","138,860",,,2016
211100,Oil and Gas Extraction,13-2051,Financial Analysts,detailed,"1,720",13.1,0.95,3,48.31,"100,480",3.3,25.74,32.29,41.39,57.56,78.22,"53,540","67,160","86,090","119,720","162,700",,,2016
211100,Oil and Gas Extraction,15-1121,Computer Systems Analysts,detailed,"4,000",15.1,2.21,2,50.9,"105,870",3.6,28.31,36.56,47.47,60.92,77.17,"58,880","76,050","98,730","126,710","160,510",,,2016
211100,Oil and Gas Extraction,15-1122,Information Security Analysts,detailed,220,13.5,0.12,1,47.33,"98,450",3,29.68,36.64,47.23,58.23,68.24,"61,730","76,210","98,240","121,130","141,930",,,2016
211100,Oil and Gas Extraction,15-1141,Database Administrators,detailed,390,7.8,0.22,1,48.31,"100,490",8.7,24.21,32.53,45.77,59.48,74.09,"50,350","67,660","95,200","123,710","154,110",,,2016
211100,Oil and Gas Extraction,15-2031,Operations Research Analysts,detailed,200,10.9,0.11,~,43.59,"90,670",5.1,25.59,30.77,39.36,53.22,68.71,"53,230","64,000","81,860","110,690","142,910",,,2016
212300,Nonmetallic Mineral Mining and Quarrying,13-1161,Market Research Analysts and Marketing Specialists,detailed,30,21.4,0.03,~,29.41,"61,180",8.5,14.96,20.57,23.94,41.23,49.37,"31,110","42,780","49,790","85,760","102,680",,,2016
213100,Support Activities for Mining,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,80,24,0.03,~,33.81,"70,310",5.6,18.43,24.92,33.89,42.35,49.71,"38,320","51,840","70,490","88,090","103,390",,,2016
213100,Support Activities for Mining,13-1161,Market Research Analysts and Marketing Specialists,detailed,120,17.9,0.04,1,41.73,"86,800",4.7,22.6,28.5,41.76,49.42,61.7,"47,010","59,280","86,870","102,800","128,330",,,2016
213100,Support Activities for Mining,13-2031,Budget Analysts,detailed,40,27.7,0.01,~,49.4,"102,740",8.1,26.74,36.05,50.1,62.27,74.29,"55,630","74,980","104,200","129,520","154,520",,,2016
213100,Support Activities for Mining,13-2051,Financial Analysts,detailed,130,21.9,0.05,1,55.39,"115,200",8.2,27.77,34.98,46.74,67.69,94.86,"57,750","72,750","97,220","140,800","197,310",,,2016
213100,Support Activities for Mining,15-1121,Computer Systems Analysts,detailed,400,23.2,0.14,~,54.19,"112,710",5.1,32.02,38.02,49.27,63.81,80.39,"66,600","79,080","102,470","132,720","167,210",,,2016
213100,Support Activities for Mining,15-1141,Database Administrators,detailed,70,20.9,0.03,~,44.08,"91,680",8.3,26.26,30.23,41.32,51.12,70.8,"54,610","62,870","85,950","106,330","147,260",,,2016
221100,"Electric Power Generation, Transmission and Distribution",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,400,5.6,0.1,2,35.73,"74,320",2.5,20.41,26.04,33.97,44.13,55.84,"42,460","54,170","70,660","91,790","116,150",,,2016
221100,"Electric Power Generation, Transmission and Distribution",13-1161,Market Research Analysts and Marketing Specialists,detailed,"1,560",6.3,0.4,4,39.21,"81,560",1.6,22.1,28.74,37.74,48.4,60.08,"45,970","59,790","78,490","100,670","124,970",,,2016
221100,"Electric Power Generation, Transmission and Distribution",13-2031,Budget Analysts,detailed,400,7,0.1,1,37.21,"77,400",2.7,22.21,27.45,35.52,45.07,55.66,"46,190","57,100","73,880","93,740","115,780",,,2016
