NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
115100,Support Activities for Crop Production,13-1161,Market Research Analysts and Marketing Specialists,detailed,40,21.6,0.01,~,34.38,"71,500",15.6,16.83,21,26.87,39.32,71.11,"35,010","43,690","55,890","81,790","147,900",,,2017
115200,Support Activities for Animal Production,13-1161,Market Research Analysts and Marketing Specialists,detailed,100,18.2,0.32,1,28.74,"59,780",2.9,17.67,21.82,27.97,35.23,42.84,"36,760","45,390","58,170","73,280","89,110",,,2017
211100,Oil and Gas Extraction,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,120,13.5,0.09,1,34.03,"70,780",3,20.05,24.17,32.2,42.08,50.77,"41,700","50,270","66,980","87,530","105,610",,,2017
211100,Oil and Gas Extraction,13-1161,Market Research Analysts and Marketing Specialists,detailed,430,19.3,0.32,2,47.56,"98,910",4.6,24.25,29.76,43.94,66.74,78.01,"50,440","61,900","91,400","138,830","162,260",,,2017
211100,Oil and Gas Extraction,13-2051,Financial Analysts,detailed,"1,380",13.8,1.02,3,47.01,"97,790",3.6,23.88,31.37,40.76,54.86,76.14,"49,670","65,240","84,770","114,100","158,370",,,2017
211100,Oil and Gas Extraction,15-1121,Computer Systems Analysts,detailed,"2,480",16.2,1.83,2,47.1,"97,970",2.6,26.78,34.49,45.21,57.48,70.11,"55,700","71,740","94,050","119,570","145,830",,,2017
211100,Oil and Gas Extraction,15-1122,Information Security Analysts,detailed,220,13.2,0.16,1,44.81,"93,200",4.2,30.3,34.84,43.16,54.8,64.84,"63,030","72,460","89,770","113,990","134,870",,,2017
211100,Oil and Gas Extraction,15-1141,Database Administrators,detailed,310,7.1,0.23,1,49.27,"102,490",6.6,25.99,33.98,47.54,60.95,74.91,"54,050","70,680","98,890","126,770","155,810",,,2017
211100,Oil and Gas Extraction,15-2031,Operations Research Analysts,detailed,220,10.7,0.16,1,42.72,"88,860",3.7,25.78,30.69,38.39,51.69,68.31,"53,620","63,840","79,850","107,510","142,080",,,2017
212300,Nonmetallic Mineral Mining and Quarrying,13-1161,Market Research Analysts and Marketing Specialists,detailed,40,17.6,0.04,~,31.53,"65,580",7.7,15.56,21.37,26.68,43.31,50.65,"32,360","44,440","55,490","90,080","105,350",,,2017
213100,Support Activities for Mining,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,60,19.7,0.02,~,36.06,"75,010",4.8,20.6,27.26,35.75,44.88,50.28,"42,850","56,690","74,360","93,350","104,590",,,2017
213100,Support Activities for Mining,13-1161,Market Research Analysts and Marketing Specialists,detailed,100,23.1,0.04,1,37.12,"77,220",8.1,20.15,23.12,29.65,49.11,58.58,"41,920","48,090","61,670","102,150","121,840",,,2017
213100,Support Activities for Mining,13-2051,Financial Analysts,detailed,**,**,**,1,55.55,"115,540",5.5,27.72,35.95,62.44,71.03,76.4,"57,660","74,770","129,870","147,740","158,910",,,2017
213100,Support Activities for Mining,15-1121,Computer Systems Analysts,detailed,220,26.9,0.08,~,42.15,"87,670",6.1,25.09,31.41,38.66,48.14,59.73,"52,190","65,340","80,400","100,130","124,250",,,2017
213100,Support Activities for Mining,15-1141,Database Administrators,detailed,70,20.3,0.03,~,41,"85,270",4.2,26.64,32.62,42.4,48.75,56.77,"55,410","67,850","88,190","101,410","118,080",,,2017
221100,"Electric Power Generation, Transmission and Distribution",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,440,9.9,0.11,2,35.36,"73,540",2.7,20.65,25.97,33.8,43.04,53.87,"42,960","54,020","70,300","89,520","112,060",,,2017
221100,"Electric Power Generation, Transmission and Distribution",13-1161,Market Research Analysts and Marketing Specialists,detailed,"1,650",6.2,0.42,5,37.96,"78,950",2.1,20.93,28.3,36.85,47.11,58,"43,540","58,870","76,640","97,990","120,640",,,2017
221100,"Electric Power Generation, Transmission and Distribution",13-2031,Budget Analysts,detailed,460,7.8,0.12,1,38.21,"79,480",2.9,23.42,28.88,36.93,46.54,56.53,"48,710","60,070","76,820","96,800","117,590",,,2017
221100,"Electric Power Generation, Transmission and Distribution",13-2041,Credit Analysts,detailed,120,5.9,0.03,~,35.17,"73,160",2.4,23.68,28.56,33.95,39.29,48.51,"49,250","59,400","70,610","81,730","100,910",,,2017
221100,"Electric Power Generation, Transmission and Distribution",13-2051,Financial Analysts,detailed,"1,300",7,0.33,3,44.35,"92,250",1.4,28.67,34.73,43.06,51.38,62.44,"59,630","72,230","89,560","106,870","129,870",,,2017
221100,"Electric Power Generation, Transmission and Distribution",15-1121,Computer Systems Analysts,detailed,"3,810",11.7,0.98,3,46.83,"97,400",1.6,29.41,36.95,46.31,56.53,63.61,"61,160","76,860","96,320","117,570","132,310",,,2017
221100,"Electric Power Generation, Transmission and Distribution",15-1122,Information Security Analysts,detailed,"1,190",10.3,0.31,2,42.24,"87,850",2.2,26.8,32.51,39.92,51.47,61.55,"55,730","67,620","83,040","107,050","128,030",,,2017
221100,"Electric Power Generation, Transmission and Distribution",15-1141,Database Administrators,detailed,570,11.9,0.15,1,44.42,"92,390",1.8,27.6,34.1,43.88,55.12,62.46,"57,400","70,920","91,280","114,640","129,910",,,2017
